# This file was produced by samtools stats (1.9+htslib-1.9) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats ../results/bam/sample.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	2240618f	83848cbe	89619931
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	48297986
SN	filtered sequences:	0
SN	sequences:	48297986
SN	is sorted:	1
SN	1st fragments:	24148993
SN	last fragments:	24148993
SN	reads mapped:	14113472
SN	reads mapped and paired:	12445906	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	34184514
SN	reads properly paired:	7969986	# proper-pair bit set
SN	reads paired:	48297986	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4858212	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	total length:	4829798600	# ignores clipping
SN	total first fragment length:	2414899300	# ignores clipping
SN	total last fragment length:	2414899300	# ignores clipping
SN	bases mapped:	1411347200	# ignores clipping
SN	bases mapped (cigar):	1030013323	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	56081877	# from NM fields
SN	error rate:	5.444772e-02	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.4
SN	insert size average:	2996.1
SN	insert size standard deviation:	3763.1
SN	inward oriented pairs:	4599440
SN	outward oriented pairs:	718007
SN	pairs with other orientation:	1105475
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	16.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	26	0	0	54562	53	147	1046	1399	2340	2907	4832	4462	6267	16847	5236	2947	4942	4788	6981	6785	10752	44750	15850	11549	10523	14216	86777	29214	14843	129405	57526	175643	67413	247714	339701	261215	845654	1622766	2414573	17622368	0
FFQ	27	0	0	59724	38	142	619	993	2249	2290	4140	4008	6023	20624	4300	2799	4642	4074	5879	6338	9769	50945	14987	11148	10684	12670	94666	29100	15670	136218	56487	186079	71451	255951	358208	279748	856661	1680540	2461216	17427913	0
FFQ	28	0	0	66032	21	140	506	1005	1987	2162	3956	3964	5970	22712	3455	2795	4316	3805	5568	6220	9518	55838	14173	10989	10673	12067	99341	28659	15929	141181	56069	194252	74654	263593	374213	290898	864907	1751476	2501616	17244333	0
FFQ	29	0	0	74593	16	142	443	1010	2038	2112	3674	4051	6194	24700	3224	2788	4202	3557	5332	5860	9337	59341	13462	11010	10814	11931	103539	28864	16308	145896	56467	201755	77428	272010	392380	297218	873483	1833780	2541618	17048416	0
FFQ	30	0	0	86316	23	134	397	969	1827	2011	3605	3925	6463	26322	3029	2883	4015	3646	5444	5968	9350	62379	13329	10831	10540	12062	107621	28224	16526	150355	56031	208729	79999	277676	406321	298898	885510	1900973	2574053	16882609	0
FFQ	31	0	0	104531	61	231	1352	1976	3202	3467	6093	5477	7482	18866	6374	3859	6244	6349	8609	8269	13378	50314	17950	14295	12773	16361	99441	31638	17628	143049	63545	203370	83051	275484	410927	310133	901801	1945641	2607161	16738611	0
FFQ	32	0	0	110857	45	252	874	1517	2923	2975	5514	5214	7510	23201	5268	3548	5736	5428	7475	7970	12227	58481	16786	13642	12571	15178	107787	32147	18689	151785	63351	215769	88706	286848	433943	330721	913708	2033005	2654050	16493292	0
FFQ	33	0	0	118492	43	311	735	1456	2880	3039	5136	5213	7695	26808	4520	3795	5540	5204	7296	7836	12079	64545	16069	13782	12868	14575	114460	31903	19591	159628	64412	226888	94115	295836	457546	342513	923478	2150850	2695934	16231922	0
FFQ	34	0	0	128524	54	269	706	1435	2622	2789	4856	4982	7606	27700	4259	3675	5239	4766	6741	7451	11858	67004	15503	13599	13143	14451	116880	31692	19908	161748	64051	232758	97151	301496	470613	348948	934195	2224287	2730181	16065853	0
FFQ	35	0	0	142654	42	270	688	1447	2506	2711	4609	4878	7750	28513	4020	3662	5055	4716	7026	7525	12015	69296	15098	13449	12956	14632	121004	31840	20390	167711	64433	241737	101114	308335	491163	353316	948145	2320597	2770076	15843614	0
FFQ	36	0	0	164774	112	337	1711	2487	3901	4388	7390	6326	9055	21562	7451	4599	7322	7739	9958	9882	15574	57246	19152	16319	14638	18367	112077	33943	20871	160171	70166	237597	104377	308426	499696	370560	966823	2385742	2795845	15672409	0
FFQ	37	974	0	172160	71	356	1080	1947	3506	3791	6340	6152	8644	26229	5931	4626	6491	6675	8846	9147	14399	66515	17988	16044	14842	17212	123118	34012	22453	170057	71454	252496	111310	320865	523874	393376	980683	2478869	2843758	15402702	0
FFQ	38	0	0	182243	62	464	972	1852	3423	3646	5777	6286	9193	30616	5240	4441	6298	6137	8478	9169	14093	73557	17104	15652	14838	16939	130518	34540	23408	178550	72490	266324	117919	333265	552947	405610	1000015	2621491	2881775	15093661	0
FFQ	39	4062	0	193243	52	388	901	1880	3380	4077	5945	6175	9823	32234	4875	4490	6252	6070	8580	9066	14274	77466	17001	15552	15205	17076	134731	34481	23748	184388	72857	273873	122932	341412	573787	412907	1009307	2741289	2909197	14856017	0
FFQ	40	4921	0	210282	60	353	855	1811	3163	3350	5444	5831	9207	33157	4571	4374	6059	5762	8285	9028	13985	79339	16673	15859	15325	16912	137864	34479	24403	189631	73094	283755	128008	348140	593697	418633	1025828	2864364	2941571	14610920	0
FFQ	41	0	0	239098	167	568	1995	2965	4715	5300	8665	7695	10515	24567	8645	5416	8679	9254	11438	11452	18418	65920	21250	18837	17430	20135	130947	36473	25115	182624	78591	283213	135084	356206	611418	449450	1055092	2970685	2957694	14353277	0
FFQ	42	7851	0	245113	120	599	1406	2555	4325	4848	7461	7679	10847	31590	6989	5500	8087	8185	10599	11207	17149	79205	19818	18584	18035	19912	143718	37472	27408	196339	80632	304478	146527	370227	646774	478350	1073439	3178622	2986616	13930727	0
FFQ	43	102	0	258394	103	562	1233	2421	4227	4592	6893	7533	11085	34340	6094	5442	7472	7630	9994	11220	16917	84755	18617	18732	18161	19623	150366	38673	28945	203297	83709	316711	154488	382021	672790	492777	1092395	3304597	3018977	13653105	0
FFQ	44	1635	0	271279	89	606	1212	2424	4150	4583	6602	7711	11528	37843	5692	5564	7288	7195	9940	10891	16473	91061	18393	18200	17722	19368	157634	38227	29440	214663	83250	332483	158317	396209	700016	496951	1131377	3373795	3072680	13386502	0
FFQ	45	1408	0	292506	73	548	1145	2309	3956	4144	6309	7184	11056	36725	5395	5109	6847	6820	9698	10910	16539	90713	17926	18505	17785	19845	158037	38302	29666	216706	83021	338765	162849	403682	715923	498802	1143544	3464301	3097088	13204852	0
FFQ	46	9962	0	323338	254	807	2587	3869	5795	6214	10133	9014	12347	28036	9913	6497	10200	10610	12889	13614	20636	76857	23366	20727	20339	22664	152469	39568	29906	211112	88552	340883	173290	414562	740771	549833	1174536	3605412	3099189	12868242	0
FFQ	47	153	0	336981	145	873	1785	3233	5403	5992	8457	8861	13072	35726	8021	6400	9127	9206	11971	13240	19718	91879	21788	21043	21004	22753	167286	41366	33585	228735	92747	365124	185798	434675	775799	579365	1207473	3749150	3128895	12482164	0
FFQ	48	844	0	349031	133	878	1627	3069	5362	5781	8137	9188	13489	40391	6965	6468	8835	8808	11911	13460	19411	99896	20704	21451	21490	23221	175899	43328	35287	238878	95574	385007	197912	450102	810587	606535	1233370	3953310	3135945	12086709	0
FFQ	49	14	0	367198	132	801	1561	2952	5069	5409	7591	8795	13401	41362	6364	6270	8305	8350	11583	12971	19329	101166	20099	21486	21264	23200	177312	43586	36081	242339	96350	392086	203018	455977	824138	609802	1246400	4014782	3156982	11935468	0
FFQ	50	168	0	393385	116	768	1558	2871	4738	5131	7393	8584	13038	41394	5936	6088	8039	8203	11417	12948	19279	103222	20092	21276	21346	23020	179349	43476	36915	246755	96572	403786	210065	466509	849211	614285	1265458	4122136	3173047	11701419	0
FFQ	51	3666	0	432588	329	1190	3085	4492	6671	7321	11048	10008	14065	30324	10857	7732	11688	12078	14233	16022	22902	86733	25851	23636	24186	25445	172635	44382	36704	240078	99597	405111	222639	480532	865545	676444	1298590	4225071	3149996	11425519	0
FFQ	52	984	0	446634	222	1157	2278	3923	6435	6968	9753	10032	15096	39706	8833	7583	10780	10620	13794	15852	21898	104018	24478	25086	24971	26220	190274	47307	40965	262075	106062	434837	238103	506453	907973	714267	1338231	4423784	3167856	10933485	0
FFQ	53	12195	0	458204	170	1195	2021	3694	6426	6942	8966	10180	15419	43896	7537	7363	9812	9657	13396	15597	21967	111120	22837	24273	24702	26292	197369	48112	42043	270408	108637	452911	247514	519734	933362	731319	1360737	4512511	3179539	10680936	0
FFQ	54	2966	0	481851	176	1175	2050	3709	6272	7087	8916	10413	16511	46751	7251	7518	10163	9565	13780	15979	22824	117161	23107	25820	26032	27481	205328	49141	44851	281854	111219	473042	262679	536708	968930	754356	1384584	4739616	3153433	10288694	0
FFQ	55	17043	0	511392	164	1125	2006	3561	6020	6560	8514	10159	15817	46933	6837	7377	9595	9523	13959	15887	22538	118572	22446	25431	25867	28227	208510	50321	45540	287990	111020	488338	273874	549552	996396	767315	1402319	4925645	3134696	9971924	0
FFQ	56	8696	0	564307	485	1730	3835	5714	8622	8812	12676	11334	16752	34950	12258	9376	14017	13607	16307	19507	25940	100753	29192	28724	28961	29523	201247	49521	45459	279362	112118	491935	287383	571971	1015986	841452	1431957	5004960	3082405	9727159	0
FFQ	57	19190	0	577624	284	1531	2643	4649	7770	8517	10721	11088	17922	43219	9583	8570	12371	11680	15592	18864	24667	116690	26283	27982	29125	29933	215608	52865	49101	299055	118784	515150	298999	587077	1040052	864458	1460299	5020353	3115281	9475413	0
FFQ	58	914	0	600604	244	1653	2465	4451	7721	8640	10166	11693	18905	49346	8629	8892	12106	11598	16065	19510	25540	127657	25812	30047	30506	31883	227087	56107	52838	313850	124838	542656	315181	609630	1077823	899313	1495975	5203813	3098760	9066075	0
FFQ	59	3251	0	625407	217	1491	2636	4422	7740	9364	10238	11987	20307	52317	7758	8737	11997	11411	16182	19976	26537	134959	26146	30935	31401	33427	236391	57838	55932	326517	126767	566795	332114	633161	1115930	921545	1522605	5400361	3063085	8681109	0
FFQ	60	302	0	668401	238	1429	2420	4219	7233	8083	9927	11564	19100	52088	7615	8676	11590	11278	16662	19477	26637	134824	25786	31312	31710	34290	239502	57794	57674	333302	128538	584729	344820	647566	1141882	935348	1538228	5535675	3036161	8422913	0
FFQ	61	2360	0	733460	694	2646	4816	7204	10406	10810	15156	12721	20645	39061	14251	10863	16565	15577	18569	23859	29573	114282	33377	32898	34891	34613	232187	56860	55900	323784	130240	587018	357879	677575	1154706	1029313	1565806	5482432	2983133	8272863	0
FFQ	62	1880	0	751486	570	3723	4994	7621	15330	15736	13502	14256	35436	52809	11598	11048	16337	14487	19643	25606	30301	137807	32011	36221	36523	37965	252796	62303	63774	348539	138752	624362	380463	699539	1193142	1075101	1601246	5647110	2954812	7780164	0
